,year,region,geography,males,females,total
104,1940,midwest,Michigan,10785.0,646.0,11431.0
105,1940,midwest,Minnesota,4260.0,450.0,4710.0
106,1940,midwest,Missouri,6669.0,741.0,7410.0
107,1940,midwest,Nebraska,1549.0,415.0,1964.0
108,1940,midwest,North Dakota,569.0,88.0,657.0
109,1940,midwest,Ohio,15150.0,1255.0,16405.0
110,1940,midwest,South Dakota,601.0,23.0,624.0
111,1940,midwest,Wisconsin,3772.0,199.0,3971.0
112,1940,northeast,Connecticut,2012.0,734.0,2746.0
113,1940,northeast,Maine,1233.0,245.0,1478.0
114,1940,northeast,Massachusetts,7964.0,1745.0,9709.0
115,1940,northeast,New Hampshire,691.0,52.0,743.0
116,1940,northeast,New Jersey,5937.0,727.0,6664.0
117,1940,northeast,New York,26235.0,1970.0,28205.0
118,1940,northeast,Pennsylvania,17077.0,1311.0,18388.0
119,1940,northeast,Rhode Island,671.0,47.0,718.0
120,1940,northeast,Vermont,583.0,98.0,681.0
121,1940,south,Alabama,8788.0,811.0,9599.0
122,1940,south,Arkansas,2718.0,173.0,2891.0
123,1940,south,Delaware,672.0,152.0,824.0
124,1940,south,District of Columbia,964.0,178.0,1142.0
125,1940,south,Florida,7134.0,545.0,7679.0
126,1940,south,Georgia,12418.0,911.0,13329.0
127,1940,south,Kentucky,7969.0,413.0,8382.0
128,1940,south,Louisiana,5092.0,371.0,5463.0
129,1940,south,Maryland,4980.0,358.0,5338.0
130,1940,south,Mississippi,4024.0,344.0,4368.0
131,1940,south,North Carolina,12119.0,891.0,13010.0
132,1940,south,Oklahoma,7064.0,403.0,7467.0
133,1940,south,South Carolina,4215.0,319.0,4534.0
134,1940,south,Tennessee,7647.0,1039.0,8686.0
135,1940,south,Texas,12384.0,850.0,13234.0
136,1940,south,Virginia,11625.0,904.0,12529.0
137,1940,south,West Virginia,5605.0,1032.0,6637.0
138,1940,west,Arizona,1442.0,135.0,1577.0
139,1940,west,California,21782.0,1532.0,23314.0
140,1940,west,Colorado,2488.0,375.0,2863.0
141,1940,west,Idaho,888.0,44.0,932.0
142,1940,west,Montana,936.0,19.0,955.0
143,1940,west,Nevada,400.0,10.0,410.0
144,1940,west,New Mexico,996.0,21.0,1017.0
145,1940,west,Oregon,1657.0,104.0,1761.0
146,1940,west,Utah,753.0,40.0,793.0
147,1940,west,Washington,4477.0,278.0,4755.0
148,1940,west,Wyoming,497.0,52.0,549.0
149,1970,aggregate,U.S. Total,313800.0,14220.0,328020.0
150,1970,midwest,Illinois,11771.0,410.0,12181.0
151,1970,midwest,Indiana,7974.0,258.0,8232.0
152,1970,midwest,Iowa,2124.0,151.0,2275.0
153,1970,midwest,Kansas,4682.0,134.0,4816.0
154,1970,midwest,Michigan,12337.0,561.0,12898.0
155,1970,midwest,Minnesota,3057.0,171.0,3228.0
156,1970,midwest,Missouri,6541.0,307.0,6848.0
157,1970,midwest,Nebraska,1580.0,80.0,1660.0
158,1970,midwest,North Dakota,245.0,10.0,255.0
159,1970,midwest,Ohio,13731.0,559.0,14290.0
160,1970,midwest,South Dakota,460.0,9.0,469.0
161,1970,midwest,Wisconsin,4478.0,189.0,4667.0
162,1970,northeast,Connecticut,3479.0,147.0,3626.0
163,1970,northeast,Maine,708.0,21.0,729.0
164,1970,northeast,Massachusetts,5268.0,210.0,5478.0
165,1970,northeast,New Hampshire,448.0,15.0,463.0
166,1970,northeast,New Jersey,8425.0,447.0,8872.0
167,1970,northeast,New York,22711.0,917.0,23628.0
168,1970,northeast,Pennsylvania,12347.0,368.0,12715.0
169,1970,northeast,Rhode Island,520.0,0.0,520.0
170,1970,northeast,Vermont,397.0,5.0,402.0
171,1970,south,Alabama,5460.0,191.0,5651.0
